E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_11_780.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_11_780.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_11_780.jpg, 0, 0, 0, 1.503523
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_11_880.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_11_880.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_11_880.jpg, 0, 0, 0, 1.502924
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_11_981.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_11_981.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_11_981.jpg, 0, 0, 0, 1.502324
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_080.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_080.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_080.jpg, 0, 0, 0, 1.501726
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_181.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_181.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_181.jpg, 0, 0, 0, 1.503513
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_283.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_283.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_283.jpg, 0, 0.2686326, 0, 1.673556
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_385.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_385.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_385.jpg, 0, 0.5712374, 0, 2.249211
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_485.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_485.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_485.jpg, 0, 0.871758, 0, 3.148255
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_587.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_587.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_587.jpg, 0, 1, 0, 4.339393
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_688.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_688.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_688.jpg, 0, 1, 0, 5.754397
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_788.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_788.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_788.jpg, 0, 1, 0, 6.923353
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_890.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_890.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_890.jpg, -0.1115415, 1, 0, 8.078468
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_12_990.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_12_990.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_12_990.jpg, -0.4138851, 1, 0, 9.180547
E:\SELF DRIVING\Udacity\IMG\center_2020_09_10_05_14_13_091.jpg, E:\SELF DRIVING\Udacity\IMG\left_2020_09_10_05_14_13_091.jpg, E:\SELF DRIVING\Udacity\IMG\right_2020_09_10_05_14_13_091.jpg, -0.711713, 1, 0, 10.20948
